global_step,algorithm,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,replay_insertion_calls_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
4595,dqn,24,,,2.0,2.0,0.5095100000000001,0.0004111190210096538,0.15330630540847778,0.16614459455013275,0.12868912518024445,0.12824112176895142,0.1315484493970871,0.027411026880145073,0.034644290804862976,0.03689086437225342,4596,10000,0.4596,426.98074612019315,426.98074612019315,900,True,10,4500,0.0,0.0,1,FIRE,fire_reset,931,1442,1182,1041,3255,1341,0.70822454308094,0,2298,2,2,426.98074612019315,213.49037306009657,2,2,,,1,FIRE,False,after_life_loss,
4596,dqn,24,,,0.0,0.0,0.509425,0.0004111190210096538,0.15330630540847778,0.16614459455013275,0.12868912518024445,0.12824112176895142,0.1315484493970871,0.027411026880145073,0.034644290804862976,0.03689086437225342,4596,10000,0.4596,426.9780923732288,426.9780923732288,900,True,10,4500,0.0,0.0,1,FIRE,random,931,1442,1182,1041,3255,1341,0.70822454308094,1,2298,2,2,426.9780923732288,213.4890461866144,2,2,,,1,FIRE,False,,
4691,dqn,25,2.0,200,0.0,0.0,0.5013500000000001,,,,,,,,,,4692,10000,0.4692,424.94692782164486,424.94692782164486,924,True,10,4500,0.0,0.0,1,FIRE,greedy,953,1469,1213,1057,3294,1398,0.7020460358056266,0,2346,2,2,424.94692782164486,212.47346391082243,2,2,,,1,FIRE,False,,
4894,dqn,26,2.0,199,0.0,0.0,0.484095,,,,,,,,,,4894,10000,0.4894,422.14921895069295,422.14921895069295,974,False,10,4500,0.0,0.0,1,FIRE,greedy,994,1553,1244,1103,3403,1491,0.6953412341642828,1,2447,2,2,422.14921895069295,211.07460947534648,2,2,,,1,FIRE,False,,
4995,dqn,26,,,2.0,2.0,0.47551000000000004,0.00023023626999929547,0.14771080017089844,0.16920416057109833,0.12473393231630325,0.12717637419700623,0.13140448927879333,0.018678653985261917,0.044204339385032654,0.02520514652132988,4996,10000,0.4996,420.95206499756347,420.95206499756347,1000,True,10,4500,0.0,0.0,3,LEFT,greedy,1010,1590,1263,1133,3460,1536,0.6925540432345877,0,2498,2,2,420.95206499756347,210.47603249878173,2,2,,,3,LEFT,False,,
4996,dqn,26,,,0.0,0.0,0.47542500000000004,0.00023023626999929547,0.14771080017089844,0.16920416057109833,0.12473393231630325,0.12717637419700623,0.13140448927879333,0.018678653985261917,0.044204339385032654,0.02520514652132988,4996,10000,0.4996,420.94967443235004,420.94967443235004,1000,True,10,4500,0.0,0.0,1,FIRE,fire_reset,1010,1590,1263,1133,3460,1536,0.6925540432345877,1,2498,2,2,420.94967443235004,210.47483721617502,2,2,,,1,FIRE,False,after_life_loss,
5087,dqn,27,2.0,198,0.0,0.0,0.46769,,,,,,,,,,5088,10000,0.5088,419.6093165113068,419.6093165113068,1023,True,11,5000,0.0,0.0,1,FIRE,random,1023,1622,1278,1165,3508,1580,0.6894654088050315,0,2544,2,2,419.6093165113068,209.8046582556534,2,2,,,1,FIRE,False,,
5395,dqn,27,,,2.0,2.0,0.44151000000000007,0.015220102854073048,0.19065974652767181,0.22072777152061462,0.16177819669246674,0.20395801961421967,1.1762884855270386,0.05193985998630524,0.9770076870918274,0.04367398843169212,5396,10000,0.5396,418.7320707513453,418.7320707513453,1100,True,11,5000,0.0,0.0,2,RIGHT,random,1069,1770,1350,1207,3656,1740,0.6775389177168273,0,2698,2,2,418.7320707513453,209.36603537567265,2,2,,,2,RIGHT,False,,
5396,dqn,27,,,3.0,3.0,0.44142500000000007,0.015220102854073048,0.19065974652767181,0.22072777152061462,0.16177819669246674,0.20395801961421967,1.1762884855270386,0.05193985998630524,0.9770076870918274,0.04367398843169212,5396,10000,0.5396,418.7303128496507,418.7303128496507,1100,True,11,5000,0.0,0.0,1,FIRE,greedy,1069,1770,1350,1207,3656,1740,0.6775389177168273,1,2698,2,2,418.7303128496507,209.36515642482536,2,2,,,1,FIRE,False,,
5432,dqn,28,3.0,269,0.0,0.0,0.438365,,,,,,,,,,5432,10000,0.5432,418.6698868484273,418.6698868484273,1109,True,11,5000,0.0,0.0,2,RIGHT,random,1081,1787,1351,1213,3669,1763,0.6754418262150221,1,2716,2,2,418.6698868484273,209.33494342421366,2,2,,,2,RIGHT,False,,
