global_step,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,target_mean,gradient_norm,replay_size,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action_source
112,0,,,1.0,1.0,0.80565,6.780659168725833e-05,0.026018202304840088,0.031389474868774414,0.03738711401820183,0.011056859977543354,112,162.8878148023664,162.8878148023664,21,True,2,100,0.0,0.0,random
113,0,,,1.0,1.0,0.8048000000000001,,,,,,113,163.71428003330257,163.71428003330257,21,False,2,100,0.0,0.0,greedy
114,0,,,1.0,1.0,0.80395,,,,,,114,164.5896844236449,164.5896844236449,21,False,2,100,0.0,0.0,greedy
115,0,,,1.0,1.0,0.8031,,,,,,115,165.53455425362554,165.53455425362554,21,False,2,100,0.0,0.0,random
116,0,,,1.0,1.0,0.80225,2.4400455004069954e-05,0.034941159188747406,0.04125891253352165,0.03754789009690285,0.004254999570548534,116,163.47772362345086,163.47772362345086,22,True,2,100,0.0,0.0,random
117,0,,,1.0,1.0,0.8014,,,,,,117,164.46979997815242,164.46979997815242,22,False,2,100,0.0,0.0,random
118,0,,,1.0,1.0,0.80055,,,,,,118,165.46652024029999,165.46652024029999,22,False,2,100,0.0,0.0,greedy
119,0,,,1.0,1.0,0.7997000000000001,,,,,,119,166.52894210215769,166.52894210215769,22,False,2,100,0.0,0.0,random
120,0,,,1.0,1.0,0.7988500000000001,0.06317102909088135,0.03075476735830307,0.035264141857624054,0.16246852278709412,0.15471938252449036,120,164.46351795845297,164.46351795845297,23,True,2,100,0.0,0.0,random
121,0,,,1.0,1.0,0.798,,,,,,121,165.42493154229027,165.42493154229027,23,False,2,100,0.0,0.0,random
122,0,,,1.0,1.0,0.79715,,,,,,122,166.38195351508847,166.38195351508847,23,False,2,100,0.0,0.0,greedy
123,0,,,1.0,1.0,0.7963,,,,,,123,167.35065009418116,167.35065009418116,23,False,2,100,0.0,0.0,random
124,0,,,1.0,1.0,0.79545,1.2817512470064685e-05,0.039211612194776535,0.04358351230621338,0.03746771812438965,0.0033307308331131935,124,164.95209603928325,164.95209603928325,24,True,2,100,0.0,0.0,random
125,0,,,1.0,1.0,0.7946,,,,,,125,165.69847941420812,165.69847941420812,24,False,2,100,0.0,0.0,random
126,0,,,1.0,1.0,0.7937500000000001,,,,,,126,166.55109431290572,166.55109431290572,24,False,2,100,0.0,0.0,random
127,0,,,1.0,1.0,0.7929,,,,,,127,167.43597123479833,167.43597123479833,24,False,2,100,0.0,0.0,random
